timestamp,experiment_id,dataset,model,model_type,input_type,input_len,horizon,seed,num_features,total_parameters,trainable_parameters,epochs_requested,epochs_ran,best_epoch,best_val_loss,stopped_early,mae,rmse,wape,checkpoint_path,metrics_path,predictions_path,config_path
2026-07-01T21:13:35.932502+00:00,ETTh2_linear_univariate_len96_h96_seed3407,ETTh2,linear,linear,univariate,96,96,3407,1,9312,9312,100,17,7,0.14056066242917892,True,4.68956995010376,6.116459400015749,17.601972579956055,results/checkpoints/ETTh2_linear_univariate_len96_h96_seed3407_best.pt,results/metrics/ETTh2_linear_univariate_len96_h96_seed3407_metrics.json,results/predictions/ETTh2_linear_univariate_len96_h96_seed3407_predictions.csv,results/logs/ETTh2_linear_univariate_len96_h96_seed3407_config.yaml
2026-07-01T21:13:55.286286+00:00,ETTh2_nlinear_univariate_len96_h96_seed3407,ETTh2,nlinear,linear,univariate,96,96,3407,1,9312,9312,100,42,32,0.13567893719480884,True,4.5173659324646,5.956010094341386,16.955617904663086,results/checkpoints/ETTh2_nlinear_univariate_len96_h96_seed3407_best.pt,results/metrics/ETTh2_nlinear_univariate_len96_h96_seed3407_metrics.json,results/predictions/ETTh2_nlinear_univariate_len96_h96_seed3407_predictions.csv,results/logs/ETTh2_nlinear_univariate_len96_h96_seed3407_config.yaml
2026-07-01T21:14:15.033570+00:00,ETTh2_dlinear_univariate_len96_h96_seed3407,ETTh2,dlinear,linear,univariate,96,96,3407,1,18624,18624,100,29,19,0.13586210023972295,True,4.577080726623535,6.020763075615525,17.179752349853516,results/checkpoints/ETTh2_dlinear_univariate_len96_h96_seed3407_best.pt,results/metrics/ETTh2_dlinear_univariate_len96_h96_seed3407_metrics.json,results/predictions/ETTh2_dlinear_univariate_len96_h96_seed3407_predictions.csv,results/logs/ETTh2_dlinear_univariate_len96_h96_seed3407_config.yaml
2026-07-01T21:14:15.580440+00:00,ETTh2_naive_multivariate_len96_h24_seed42,ETTh2,naive,baseline,multivariate,96,24,42,7,0,0,100,0,,,False,4.896778583526611,6.461150049405872,18.420595169067383,,results/metrics/ETTh2_naive_multivariate_len96_h24_seed42_metrics.json,results/predictions/ETTh2_naive_multivariate_len96_h24_seed42_predictions.csv,results/logs/ETTh2_naive_multivariate_len96_h24_seed42_config.yaml
2026-07-01T21:14:32.253327+00:00,ETTh2_linear_multivariate_len96_h24_seed42,ETTh2,linear,linear,multivariate,96,24,42,7,16152,16152,100,35,25,0.07265935209838148,True,2.861802816390991,3.9692864243239936,10.765467643737793,results/checkpoints/ETTh2_linear_multivariate_len96_h24_seed42_best.pt,results/metrics/ETTh2_linear_multivariate_len96_h24_seed42_metrics.json,results/predictions/ETTh2_linear_multivariate_len96_h24_seed42_predictions.csv,results/logs/ETTh2_linear_multivariate_len96_h24_seed42_config.yaml
2026-07-01T21:14:39.934831+00:00,ETTh2_nlinear_multivariate_len96_h24_seed42,ETTh2,nlinear,linear,multivariate,96,24,42,7,16152,16152,100,16,6,0.07346975456110205,True,2.9183664321899414,4.0371148082178,10.97824764251709,results/checkpoints/ETTh2_nlinear_multivariate_len96_h24_seed42_best.pt,results/metrics/ETTh2_nlinear_multivariate_len96_h24_seed42_metrics.json,results/predictions/ETTh2_nlinear_multivariate_len96_h24_seed42_predictions.csv,results/logs/ETTh2_nlinear_multivariate_len96_h24_seed42_config.yaml
2026-07-01T21:15:02.266790+00:00,ETTh2_dlinear_multivariate_len96_h24_seed42,ETTh2,dlinear,linear,multivariate,96,24,42,7,32304,32304,100,41,31,0.07145172232617285,True,2.825991630554199,3.9103853842626037,10.630753517150879,results/checkpoints/ETTh2_dlinear_multivariate_len96_h24_seed42_best.pt,results/metrics/ETTh2_dlinear_multivariate_len96_h24_seed42_metrics.json,results/predictions/ETTh2_dlinear_multivariate_len96_h24_seed42_predictions.csv,results/logs/ETTh2_dlinear_multivariate_len96_h24_seed42_config.yaml
2026-07-01T21:15:02.714116+00:00,ETTh2_naive_multivariate_len96_h24_seed2024,ETTh2,naive,baseline,multivariate,96,24,2024,7,0,0,100,0,,,False,4.896778583526611,6.461150049405872,18.420595169067383,,results/metrics/ETTh2_naive_multivariate_len96_h24_seed2024_metrics.json,results/predictions/ETTh2_naive_multivariate_len96_h24_seed2024_predictions.csv,results/logs/ETTh2_naive_multivariate_len96_h24_seed2024_config.yaml
2026-07-01T21:15:10.318941+00:00,ETTh2_linear_multivariate_len96_h24_seed2024,ETTh2,linear,linear,multivariate,96,24,2024,7,16152,16152,100,15,5,0.07682283338430336,True,3.0367414951324463,4.1198439307420225,11.423548698425293,results/checkpoints/ETTh2_linear_multivariate_len96_h24_seed2024_best.pt,results/metrics/ETTh2_linear_multivariate_len96_h24_seed2024_metrics.json,results/predictions/ETTh2_linear_multivariate_len96_h24_seed2024_predictions.csv,results/logs/ETTh2_linear_multivariate_len96_h24_seed2024_config.yaml
2026-07-01T21:15:32.825726+00:00,ETTh2_nlinear_multivariate_len96_h24_seed2024,ETTh2,nlinear,linear,multivariate,96,24,2024,7,16152,16152,100,42,32,0.07120169438283923,True,2.805673837661743,3.926373216018789,10.554323196411133,results/checkpoints/ETTh2_nlinear_multivariate_len96_h24_seed2024_best.pt,results/metrics/ETTh2_nlinear_multivariate_len96_h24_seed2024_metrics.json,results/predictions/ETTh2_nlinear_multivariate_len96_h24_seed2024_predictions.csv,results/logs/ETTh2_nlinear_multivariate_len96_h24_seed2024_config.yaml
2026-07-01T21:15:48.674286+00:00,ETTh2_dlinear_multivariate_len96_h24_seed2024,ETTh2,dlinear,linear,multivariate,96,24,2024,7,32304,32304,100,28,18,0.07372320286295711,True,2.8313331604003906,3.965501912929529,10.650847434997559,results/checkpoints/ETTh2_dlinear_multivariate_len96_h24_seed2024_best.pt,results/metrics/ETTh2_dlinear_multivariate_len96_h24_seed2024_metrics.json,results/predictions/ETTh2_dlinear_multivariate_len96_h24_seed2024_predictions.csv,results/logs/ETTh2_dlinear_multivariate_len96_h24_seed2024_config.yaml
2026-07-01T21:15:49.152224+00:00,ETTh2_naive_multivariate_len96_h24_seed3407,ETTh2,naive,baseline,multivariate,96,24,3407,7,0,0,100,0,,,False,4.896778583526611,6.461150049405872,18.420595169067383,,results/metrics/ETTh2_naive_multivariate_len96_h24_seed3407_metrics.json,results/predictions/ETTh2_naive_multivariate_len96_h24_seed3407_predictions.csv,results/logs/ETTh2_naive_multivariate_len96_h24_seed3407_config.yaml
2026-07-01T21:16:09.669795+00:00,ETTh2_linear_multivariate_len96_h24_seed3407,ETTh2,linear,linear,multivariate,96,24,3407,7,16152,16152,100,38,28,0.07313965973886404,True,2.889960289001465,3.984975971451019,10.871389389038086,results/checkpoints/ETTh2_linear_multivariate_len96_h24_seed3407_best.pt,results/metrics/ETTh2_linear_multivariate_len96_h24_seed3407_metrics.json,results/predictions/ETTh2_linear_multivariate_len96_h24_seed3407_predictions.csv,results/logs/ETTh2_linear_multivariate_len96_h24_seed3407_config.yaml
