dataset,model,horizon,input_type,num_runs,mean_mae,std_mae,mean_rmse,mean_wape,total_parameters,trainable_parameters,mae_per_1k_params,checkpoint_size_mb,mean_epochs_ran
ETTh1,dlinear,48,multivariate,3,1.8230178356170654,0.012907287889706546,2.3621039128385455,23.137967427571613,64608,64608,0.028216596019332983,0.7467254002888998,28.0
ETTh1,naive,48,multivariate,3,1.834916949272156,0.0,2.4346655969683555,23.288991928100582,0,0,,,0.0
ETTh1,transformer,48,multivariate,3,1.8897412618001301,0.09215466698100297,2.3955021718814096,23.98482894897461,70576,70576,0.026775975711291804,0.8686688741048177,12.333333333333334
ETTh1,lstm,48,multivariate,3,2.074203848838806,0.1069346761527217,2.713174515914617,26.3260498046875,55088,55088,0.037652553166548176,0.6444667180379232,12.333333333333334
ETTh1,dlinear,48,univariate,3,1.7230446736017864,0.01683127060747503,2.2717031699886143,21.86909548441569,9312,9312,0.18503486615139458,0.11387093861897786,21.333333333333332
ETTh1,nlinear,48,univariate,3,1.737384517987569,0.012482833997421271,2.282012559306647,22.051098505655926,4656,4656,0.3731495957877082,0.05816809336344401,21.666666666666668
ETTh1,linear,48,univariate,3,1.7437140146891277,0.01701720904295542,2.2861883822698243,22.131432851155598,4656,4656,0.3745090237734381,0.05815474192301432,30.333333333333332
ETTh1,naive,48,univariate,3,1.834916949272156,0.0,2.4346655969683555,23.288991928100582,0,0,,,0.0
ETTh1,nlinear,96,multivariate,3,2.1343024571736655,0.00538029179846077,2.7855593452524814,27.000913619995117,64608,64608,0.03303464674922092,0.7442909876505533,55.0
ETTh1,dlinear,96,multivariate,3,2.210715134938558,0.06925602300410945,2.852136274215983,27.967605590820312,129216,129216,0.017108679536114398,1.4861052831013997,18.666666666666668
ETTh1,linear,96,multivariate,3,2.2143709659576416,0.05860303643804037,2.866725112983804,28.01385498046875,64608,64608,0.034273943876263646,0.7442776362101237,22.0
ETTh1,naive,96,multivariate,3,2.3309926986694336,0.0,3.061985361882757,29.489227294921875,0,0,,,0.0
ETTh1,transformer,96,multivariate,3,2.482593854268392,0.28304086424955927,3.1082423717431173,31.40712547302246,73696,73696,0.03368695525223068,0.9043744405110677,11.666666666666666
ETTh1,lstm,96,multivariate,3,2.6424638430277505,0.17275403438126447,3.397896165234254,33.42962773640951,58208,58208,0.04539691868862958,0.6801722844441732,13.333333333333334
ETTh1,dlinear,96,univariate,3,2.1344284216562905,0.026320530688736958,2.7650753006053033,27.002506256103516,18624,18624,0.11460633707346922,0.22043832143147787,19.333333333333332
ETTh1,nlinear,96,univariate,3,2.134672164916992,0.002221435821627732,2.772491878438615,27.005590438842773,9312,9312,0.22923884932527838,0.11145178476969402,17.0
ETTh1,linear,96,univariate,3,2.14792799949646,0.02122864153348043,2.784558699367123,27.173288345336914,9312,9312,0.2306623710799463,0.11143843332926433,16.666666666666668
ETTh1,naive,96,univariate,3,2.3309926986694336,0.0,3.061985361882757,29.489227294921875,0,0,,,0.0
ETTh2,nlinear,24,multivariate,3,2.842727025349935,0.06551013239719587,3.9649324309683256,10.693709055582682,16152,16152,0.17599845377352247,0.18984762827555338,34.0
ETTh2,dlinear,24,multivariate,3,2.864088217417399,0.06141742070186886,3.973961774190029,10.774064699808756,32304,32304,0.08866048221326767,0.3772185643513997,31.666666666666668
ETTh2,linear,24,multivariate,3,2.929501533508301,0.0939335820823072,4.024702108839012,11.020135243733725,16152,16152,0.1813708230255263,0.1898342768351237,29.333333333333332
ETTh2,transformer,24,multivariate,3,3.0774702231089273,0.03215312813002375,4.171266632056441,11.576760292053223,69016,69016,0.044590677858886735,0.8509076436360677,14.333333333333334
ETTh2,lstm,24,multivariate,3,3.6372925440470376,0.4470482586746021,4.883212711088002,13.682688395182291,53528,53528,0.06795121327243756,0.6267054875691732,18.0
ETTh2,naive,24,multivariate,3,4.896778583526611,0.0,6.461150049405872,18.420595169067383,0,0,,,0.0
ETTh2,nlinear,24,univariate,3,2.872312863667806,0.008135754385999845,4.007272907644462,10.805003801981607,2328,2328,1.2338113675548996,0.03161780039469401,35.666666666666664
ETTh2,dlinear,24,univariate,3,2.88032595316569,0.015543582174640927,4.019430554105337,10.835147539774576,4656,4656,0.6186267081541431,0.06077035268147787,22.333333333333332
ETTh2,linear,24,univariate,3,2.960702578226725,0.034048867515001566,4.10005952669471,11.137506802876791,2328,2328,1.2717794580011708,0.03160444895426432,25.666666666666668
