dataset,model,input_type,horizon,mean_mae,std_mae,mean_rmse,std_rmse,mean_wape,std_wape,num_runs
ETTh2,nlinear,multivariate,24,2.842727025349935,0.0655101323971959,3.964932430968325,0.06256047348749072,10.693709055582682,0.24643451419050325,3
ETTh2,nlinear,multivariate,48,3.6526923974355063,0.00762352450995425,4.92630166628109,0.008322943239706872,13.73641586303711,0.028668540992839567,3
ETTh2,nlinear,multivariate,96,4.611613750457764,0.02906502274153674,6.01558831415278,0.03882033390632013,17.309369405110676,0.10909302193977295,3
ETTh2,nlinear,univariate,24,2.872312863667806,0.008135754385999885,4.007272907644462,0.0038380511945185596,10.805003801981607,0.030604918968581495,3
ETTh2,nlinear,univariate,48,3.6671314239501953,0.011551313033464931,4.948194028218878,0.008060944988739981,13.790715217590332,0.04343976052205678,3
ETTh2,nlinear,univariate,96,4.5250522295633955,0.009865784095772396,5.963849948018236,0.008048459803853675,16.984467188517254,0.03703060667114883,3
ETTh2,transformer,multivariate,24,3.0774702231089273,0.03215312813002378,4.171266632056441,0.05527193359963894,11.576760292053223,0.12095274085529648,3
ETTh2,transformer,multivariate,48,4.066950082778931,0.2832335926195533,5.240431624726656,0.2884356406332993,15.29428482055664,1.0651357454524666,3
ETTh2,transformer,multivariate,96,4.776742458343506,0.08842306072984364,6.054534115193213,0.12395571854537857,17.929168701171875,0.33189006128685017,3
ETTh2,transformer_regularized,multivariate,96,4.792993386586507,0.07912768214559897,6.021609589708327,0.07812600307382353,17.99016507466634,0.2969994631753822,3
