dataset,model,input_type,horizon,model_seed,aggregation_method,anomaly_type,injection_seed,anomaly_ratio,magnitude_scale,detector_type,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,diff_score,iqr,1.1960014875000007,40,206,3093,27,0.16260162601626016,0.5970149253731343,0.25559105431309903,0.06244316459533192,0.937556835404668,3366,67,246
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,diff_score,mad,1.3768992432699991,40,168,3131,27,0.19230769230769232,0.5970149253731343,0.2909090909090909,0.05092452258260079,0.9490754774173992,3366,67,208
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,rolling_zscore,percentile,4.278106734930174,39,32,3267,28,0.5492957746478874,0.582089552238806,0.5652173913043479,0.009699909063352531,0.9903000909366475,3366,67,71
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,rolling_zscore,mean_std,7477406.062098552,0,1,3298,67,0.0,0.0,0.0,0.0003031221582297666,0.9996968778417702,3366,67,1
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,rolling_zscore,iqr,3.379336140379394,49,75,3224,18,0.3951612903225806,0.7313432835820896,0.5130890052356021,0.022734161867232493,0.9772658381327675,3366,67,124
ETTh1,nlinear,multivariate,24,42,first,spike,42,0.02,3.0,rolling_zscore,mad,3.837024392715136,45,48,3251,22,0.4838709677419355,0.6716417910447762,0.5625000000000001,0.014549863595028797,0.9854501364049713,3366,67,93
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,residual,percentile,1.7860218639999996,67,79,3220,0,0.4589041095890411,1.0,0.6291079812206573,0.023946650500151562,0.9760533494998485,3366,67,146
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,residual,mean_std,1.6956210557618947,67,91,3208,0,0.4240506329113924,1.0,0.5955555555555555,0.02758411639890876,0.9724158836010912,3366,67,158
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,residual,iqr,1.4185841175,67,154,3145,0,0.3031674208144796,1.0,0.46527777777777773,0.046680812367384056,0.9533191876326159,3366,67,221
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,residual,mad,1.5722129060285002,67,110,3189,0,0.3785310734463277,1.0,0.5491803278688525,0.033343437405274325,0.9666565625947257,3366,67,177
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,raw_zscore,percentile,2.588390364924154,51,1000,2299,16,0.048525214081826834,0.7611940298507462,0.09123434704830054,0.30312215822976657,0.6968778417702334,3366,67,1051
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,raw_zscore,mean_std,2.6496085647748084,51,955,2344,16,0.05069582504970179,0.7611940298507462,0.09506057781919851,0.2894816611094271,0.7105183388905729,3366,67,1006
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,raw_zscore,iqr,2.327711048654572,51,1285,2014,16,0.03817365269461078,0.7611940298507462,0.07270135424091233,0.38951197332525006,0.6104880266747499,3366,67,1336
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,raw_zscore,mad,2.4114464476877635,51,1223,2076,16,0.040031397174254316,0.7611940298507462,0.07606263982102908,0.37071839951500457,0.6292816004849955,3366,67,1274
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,diff_score,percentile,1.7589995530000004,32,103,3196,35,0.23703703703703705,0.47761194029850745,0.3168316831683169,0.03122158229766596,0.9687784177023341,3366,67,135
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,diff_score,mean_std,1.5985696494397563,32,131,3168,35,0.19631901840490798,0.47761194029850745,0.2782608695652174,0.03970900272809942,0.9602909972719006,3366,67,163
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,diff_score,iqr,1.1960014875000007,33,217,3082,34,0.132,0.4925373134328358,0.2082018927444795,0.06577750833585935,0.9342224916641406,3366,67,250
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,diff_score,mad,1.3768992432699991,32,180,3119,35,0.1509433962264151,0.47761194029850745,0.2293906810035842,0.05456198848135799,0.945438011518642,3366,67,212
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,rolling_zscore,percentile,4.278106734930174,36,29,3270,31,0.5538461538461539,0.5373134328358209,0.5454545454545454,0.008790542588663231,0.9912094574113368,3366,67,65
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,rolling_zscore,mean_std,7477406.062098552,0,2,3297,67,0.0,0.0,0.0,0.0006062443164595332,0.9993937556835405,3366,67,2
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,rolling_zscore,iqr,3.379336140379394,45,75,3224,22,0.375,0.6716417910447762,0.48128342245989314,0.022734161867232493,0.9772658381327675,3366,67,120
ETTh1,nlinear,multivariate,24,42,first,spike,2024,0.02,3.0,rolling_zscore,mad,3.837024392715136,40,44,3255,27,0.47619047619047616,0.5970149253731343,0.5298013245033112,0.01333737496210973,0.9866626250378903,3366,67,84
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,residual,percentile,1.7860218639999996,68,80,3218,0,0.4594594594594595,1.0,0.6296296296296297,0.02425712553062462,0.9757428744693754,3366,68,148
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,residual,mean_std,1.6956210557618947,68,91,3207,0,0.4276729559748428,1.0,0.5991189427312776,0.027592480291085505,0.9724075197089145,3366,68,159
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,residual,iqr,1.4185841175,68,155,3143,0,0.30493273542600896,1.0,0.46735395189003437,0.0469981807155852,0.9530018192844147,3366,68,223
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,residual,mad,1.5722129060285002,68,111,3187,0,0.37988826815642457,1.0,0.5506072874493927,0.03365676167374166,0.9663432383262583,3366,68,179
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,raw_zscore,percentile,2.588390364924154,51,1003,2295,17,0.04838709677419355,0.75,0.0909090909090909,0.30412371134020616,0.6958762886597938,3366,68,1054
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,raw_zscore,mean_std,2.6496085647748084,51,958,2340,17,0.05054509415262636,0.75,0.0947075208913649,0.29047907822922986,0.7095209217707702,3366,68,1009
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,raw_zscore,iqr,2.327711048654572,52,1287,2011,16,0.038834951456310676,0.7647058823529411,0.07391613361762615,0.3902365069739236,0.6097634930260765,3366,68,1339
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,raw_zscore,mad,2.4114464476877635,51,1226,2072,17,0.039937353171495694,0.75,0.07583643122676581,0.37174044875682233,0.6282595512431777,3366,68,1277
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,diff_score,percentile,1.7589995530000004,34,106,3192,34,0.24285714285714285,0.5,0.3269230769230769,0.03214069132807762,0.9678593086719224,3366,68,140
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,diff_score,mean_std,1.5985696494397563,34,134,3164,34,0.20238095238095238,0.5,0.288135593220339,0.04063068526379624,0.9593693147362038,3366,68,168
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,diff_score,iqr,1.1960014875000007,34,220,3078,34,0.13385826771653545,0.5,0.21118012422360252,0.0667070952092177,0.9332929047907823,3366,68,254
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,diff_score,mad,1.3768992432699991,34,183,3115,34,0.15668202764976957,0.5,0.23859649122807017,0.05548817465130382,0.9445118253486962,3366,68,217
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,rolling_zscore,percentile,4.278106734930174,42,29,3269,26,0.5915492957746479,0.6176470588235294,0.60431654676259,0.008793208004851425,0.9912067919951486,3366,68,71
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,rolling_zscore,mean_std,7477406.062098552,0,1,3297,68,0.0,0.0,0.0,0.00030321406913280777,0.9996967859308672,3366,68,1
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,rolling_zscore,iqr,3.379336140379394,50,75,3223,18,0.4,0.7352941176470589,0.5181347150259068,0.02274105518496058,0.9772589448150394,3366,68,125
ETTh1,nlinear,multivariate,24,42,first,spike,3407,0.02,3.0,rolling_zscore,mad,3.837024392715136,46,42,3256,22,0.5227272727272727,0.6764705882352942,0.5897435897435898,0.012734990903577926,0.9872650090964221,3366,68,88
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,residual,percentile,1.7860218639999996,77,80,3209,0,0.49044585987261147,1.0,0.6581196581196581,0.024323502584372148,0.9756764974156279,3366,77,157
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,residual,mean_std,1.6956210557618947,77,93,3196,0,0.45294117647058824,1.0,0.6234817813765182,0.028276071754332624,0.9717239282456673,3366,77,170
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,residual,iqr,1.4185841175,77,156,3133,0,0.33047210300429186,1.0,0.4967741935483871,0.04743083003952569,0.9525691699604744,3366,77,233
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,residual,mad,1.5722129060285002,77,113,3176,0,0.4052631578947368,1.0,0.5767790262172284,0.034356947400425664,0.9656430525995744,3366,77,190
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,raw_zscore,percentile,2.588390364924154,47,994,2295,30,0.04514889529298751,0.6103896103896104,0.08407871198568873,0.30221951961082394,0.6977804803891761,3366,77,1041
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,raw_zscore,mean_std,2.6496085647748084,47,949,2340,30,0.04718875502008032,0.6103896103896104,0.08760484622553587,0.2885375494071146,0.7114624505928854,3366,77,996
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,raw_zscore,iqr,2.327711048654572,48,1279,2010,29,0.03617181612660136,0.6233766233766234,0.06837606837606838,0.38887199756764973,0.6111280024323502,3366,77,1327
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,raw_zscore,mad,2.4114464476877635,48,1218,2071,29,0.037914691943127965,0.6233766233766234,0.07148175725986598,0.370325326847066,0.629674673152934,3366,77,1266
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,diff_score,percentile,1.7589995530000004,5,79,3210,72,0.05952380952380952,0.06493506493506493,0.06211180124223602,0.024019458802067496,0.9759805411979325,3366,77,84
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,diff_score,mean_std,1.5985696494397563,5,107,3182,72,0.044642857142857144,0.06493506493506493,0.05291005291005291,0.03253268470659775,0.9674673152934022,3366,77,112
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,diff_score,iqr,1.1960014875000007,5,194,3095,72,0.02512562814070352,0.06493506493506493,0.036231884057971016,0.058984493767102464,0.9410155062328975,3366,77,199
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,diff_score,mad,1.3768992432699991,5,156,3133,72,0.031055900621118012,0.06493506493506493,0.04201680672268907,0.04743083003952569,0.9525691699604744,3366,77,161
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,rolling_zscore,percentile,4.278106734930174,9,36,3253,68,0.2,0.11688311688311688,0.14754098360655737,0.010945576162967468,0.9890544238370326,3366,77,45
ETTh1,nlinear,multivariate,24,42,first,level_shift,42,0.02,3.0,rolling_zscore,mean_std,7477406.062098552,0,2,3287,77,0.0,0.0,0.0,0.0006080875646093037,0.9993919124353907,3366,77,2
