dataset,model,input_type,horizon,seed,aggregation_method,anomaly_type,anomaly_ratio,magnitude_scale,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,validation_score_mean,validation_score_std,test_score_mean,test_score_std
ETTh1,nlinear,multivariate,24,42,first,frozen,0.02,3.0,iqr,1.4185841175,23,156,3133,54,0.12849162011173185,0.2987012987012987,0.1796875,0.04743083003952569,0.9525691699604744,3366,77,179,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,first,frozen,0.02,3.0,mad,1.5722129060285002,18,113,3176,59,0.13740458015267176,0.23376623376623376,0.17307692307692307,0.034356947400425664,0.9656430525995744,3366,77,131,0.4890213264963008,0.40232394982283626,0.5383472900150623,0.5046458921015422
ETTh1,nlinear,multivariate,24,42,mean,spike,0.02,3.0,percentile,3.499530047999998,69,97,3223,0,0.41566265060240964,1.0,0.5872340425531914,0.029216867469879518,0.9707831325301205,3389,69,166,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,spike,0.02,3.0,mean_std,3.4919718389135777,69,97,3223,0,0.41566265060240964,1.0,0.5872340425531914,0.029216867469879518,0.9707831325301205,3389,69,166,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,spike,0.02,3.0,iqr,2.9606467,69,185,3135,0,0.27165354330708663,1.0,0.4272445820433437,0.05572289156626506,0.9442771084337349,3389,69,254,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,spike,0.02,3.0,mad,3.1106199538,69,152,3168,0,0.31221719457013575,1.0,0.47586206896551725,0.04578313253012048,0.9542168674698795,3389,69,221,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,level_shift,0.02,3.0,percentile,3.499530047999998,77,96,3216,0,0.44508670520231214,1.0,0.616,0.028985507246376812,0.9710144927536232,3389,77,173,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,level_shift,0.02,3.0,mean_std,3.4919718389135777,77,96,3216,0,0.44508670520231214,1.0,0.616,0.028985507246376812,0.9710144927536232,3389,77,173,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,level_shift,0.02,3.0,iqr,2.9606467,77,186,3126,0,0.29277566539923955,1.0,0.45294117647058824,0.05615942028985507,0.9438405797101449,3389,77,263,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
ETTh1,nlinear,multivariate,24,42,mean,level_shift,0.02,3.0,mad,3.1106199538,77,154,3158,0,0.3333333333333333,1.0,0.5,0.0464975845410628,0.9535024154589372,3389,77,231,1.2495173643920974,0.7477121275140887,1.4217421085137405,0.9571319993802916
