dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,pr_auc,roc_auc,best_f1,best_f1_threshold,f1_at_fpr_1pct,recall_at_fpr_1pct,f1_at_fpr_2pct,recall_at_fpr_2pct,f1_at_fpr_5pct,recall_at_fpr_5pct
ETTh1,nlinear,96,mean,spike,3407,flatness,0.014458195254922937,0.29206520006376535,0.03951191167921752,0.1770872861376344,0.019607843136810462,0.014705882352941176,0.014814814814314844,0.014705882352941176,0.008510638297461078,0.014705882352941176
ETTh1,nlinear,96,mean,spike,3407,hybrid_rankmax,0.6011284234599658,0.9924500061994084,0.7088607594931805,1.0,0.7133757961778529,0.8235294117647058,0.6464646464641954,0.9411764705882353,0.4503311258274656,1.0
ETTh1,nlinear,96,mean,level_shift,42,residual,0.9666137946066568,0.9992667356797792,0.9156626506019121,7.59890632283719,0.8235294117642213,1.0,0.699999999999545,1.0,0.48275862068928893,1.0
ETTh1,nlinear,96,mean,level_shift,42,flatness,0.012147529000007788,0.11390692640692641,0.04462474645026063,0.17855407975722998,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,96,mean,level_shift,42,hybrid_rankmax,0.6260162601626016,0.9930555555555556,0.7699999999995264,1.0,0.4507042253516163,0.4155844155844156,0.699999999999545,1.0,0.48275862068928893,1.0
ETTh1,nlinear,96,mean,level_shift,2024,residual,0.9896140752621093,0.9997170859856522,0.9438202247186012,8.841188361378858,0.8490566037730962,1.0,0.7346938775505556,1.0,0.523255813953102,1.0
ETTh1,nlinear,96,mean,level_shift,2024,flatness,0.017013135925222623,0.2282880334107979,0.05191808479948793,0.16847076317214718,0.016260162601233395,0.011111111111111112,0.025477707005880156,0.022222222222222223,0.02334630350149041,0.03333333333333333
ETTh1,nlinear,96,mean,level_shift,2024,hybrid_rankmax,0.6617647058823529,0.9930281903607153,0.7964601769906712,1.0,0.5476190476185501,0.5111111111111111,0.7346938775505556,1.0,0.523255813953102,1.0
ETTh1,nlinear,96,mean,level_shift,3407,residual,0.9772726084316709,0.9994722551531607,0.9349112426030524,8.080857009295524,0.8272251308895673,1.0,0.7053571428566862,1.0,0.489164086686937,1.0
ETTh1,nlinear,96,mean,level_shift,3407,flatness,0.014884650761330689,0.2587938353283108,0.04585026117232896,0.1968479391759858,0.0,0.0,0.0,0.0,0.0,0.0
ETTh1,nlinear,96,mean,level_shift,3407,hybrid_rankmax,0.632,0.9930513595166163,0.7745098039210939,1.0,0.6900584795316665,0.7468354430379747,0.7053571428566862,1.0,0.489164086686937,1.0
ETTh1,nlinear,96,mean,frozen,42,residual,0.02837237481653601,0.37837615283267456,0.11320754716931182,5.732442234375,0.05309734513230918,0.03896103896103896,0.10596026490016246,0.1038961038961039,0.086956521738707,0.14285714285714285
ETTh1,nlinear,96,mean,frozen,42,flatness,0.19774231116830676,0.7876180281071585,0.39130434782559365,8.363546373037318,0.3703703703698803,0.3246753246753247,0.3563218390799664,0.4025974025974026,0.2589928057549951,0.4675324675324675
ETTh1,nlinear,96,mean,frozen,42,hybrid_rankmax,0.1404099129015247,0.7496706192358367,0.30622009569331454,0.98419452887538,0.2258064516124325,0.18181818181818182,0.23456790123406912,0.24675324675324675,0.2714285714281727,0.4935064935064935
