dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,num_true_events,num_detected_events,event_recall,mean_detection_delay,median_detection_delay,max_detection_delay
ETTh1,nlinear,24,first,level_shift,42,hybrid_rankmax,mad,1.6084176633785456,0,0,3289,77,0.0,0.0,0.0,0.0,1.0,3366,77,0,5,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,42,hybrid_or,mad,,77,200,3089,0,0.2779783393501805,1.0,0.43502824858757067,0.060808756460930376,0.9391912435390696,3366,77,277,5,5,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,2024,residual,percentile,1.7860218639999996,67,80,3219,0,0.4557823129251701,1.0,0.6261682242990654,0.024249772658381328,0.9757502273416186,3366,67,147,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,2024,flatness,percentile,790003.6009387329,0,26,3273,67,0.0,0.0,0.0,0.007881176113973931,0.992118823886026,3366,67,26,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,2024,hybrid_rankmax,percentile,1.0,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,2024,hybrid_or,percentile,,67,104,3195,0,0.391812865497076,1.0,0.5630252100840336,0.031524704455895725,0.9684752955441043,3366,67,171,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,2024,residual,mean_std,1.6956210557618947,67,92,3207,0,0.42138364779874216,1.0,0.5929203539823008,0.027887238557138528,0.9721127614428615,3366,67,159,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,2024,flatness,mean_std,315997.1069870756,0,26,3273,67,0.0,0.0,0.0,0.007881176113973931,0.992118823886026,3366,67,26,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,2024,hybrid_rankmax,mean_std,1.371334843858064,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,4,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,2024,hybrid_or,mean_std,,67,116,3183,0,0.366120218579235,1.0,0.536,0.035162170354652925,0.964837829645347,3366,67,183,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,2024,residual,iqr,1.4185841175,67,154,3145,0,0.3031674208144796,1.0,0.46527777777777773,0.046680812367384056,0.9533191876326159,3366,67,221,4,4,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,2024,flatness,iqr,4.285812514580129,0,130,3169,67,0.0,0.0,0.0,0.039405880569869656,0.9605941194301303,3366,67,130,4,0,0.0,,,
