dataset,horizon,model,anomaly_type,injection_seed,forecast_mae,forecast_rmse,forecast_wape,average_precision,oracle_best_f1,fixed_f1,fixed_precision,fixed_recall,event_recall,mean_detection_delay
ETTh1,96,nlinear,frozen,42,2.130739450454712,2.7830343630304144,26.95583724975586,0.21422093012776341,0.3898305084741228,0.3333333333333333,0.28440366972477066,0.4025974025974026,1.0,5.8
ETTh1,96,nlinear,frozen,2024,2.130739450454712,2.7830343630304144,26.95583724975586,0.09956721168619313,0.213953488371664,0.18518518518518517,0.15789473684210525,0.22388059701492538,0.75,5.666666666666667
ETTh1,96,nlinear,frozen,3407,2.130739450454712,2.7830343630304144,26.95583724975586,0.09545707025950292,0.19209039547973175,0.18285714285714286,0.16666666666666666,0.20253164556962025,0.75,3.3333333333333335
ETTh1,96,dlinear,spike,42,2.1524813175201416,2.789131227816548,27.230892181396484,1.0000000000000002,0.9999999999995,0.6473429951690821,0.4785714285714286,1.0,1.0,0.0
ETTh1,96,dlinear,spike,2024,2.1524813175201416,2.789131227816548,27.230892181396484,0.999780509218613,0.9925925925920926,0.6536585365853659,0.4855072463768116,1.0,1.0,0.0
ETTh1,96,dlinear,spike,3407,2.1524813175201416,2.789131227816548,27.230892181396484,0.9999999999999998,0.9999999999995,0.6476190476190475,0.4788732394366197,1.0,1.0,0.0
ETTh1,96,dlinear,level_shift,42,2.1524813175201416,2.789131227816548,27.230892181396484,1.0,0.9999999999995,0.6814159292035399,0.5167785234899329,1.0,1.0,0.0
ETTh1,96,dlinear,level_shift,2024,2.1524813175201416,2.789131227816548,27.230892181396484,1.0000000000000002,0.9999999999995,0.6442307692307693,0.475177304964539,1.0,1.0,0.0
ETTh1,96,dlinear,level_shift,3407,2.1524813175201416,2.789131227816548,27.230892181396484,0.9999999999999998,0.9999999999995,0.6781115879828326,0.512987012987013,1.0,1.0,0.0
ETTh1,96,dlinear,frozen,42,2.1524813175201416,2.789131227816548,27.230892181396484,0.14047962863938468,0.3235294117642147,0.26744186046511625,0.24210526315789474,0.2987012987012987,0.6,4.333333333333333
ETTh1,96,dlinear,frozen,2024,2.1524813175201416,2.789131227816548,27.230892181396484,0.0657678298679357,0.17391304347776132,0.1568627450980392,0.13953488372093023,0.1791044776119403,0.75,5.666666666666667
ETTh1,96,dlinear,frozen,3407,2.1524813175201416,2.789131227816548,27.230892181396484,0.07595153688138506,0.15894039735049445,0.14457831325301207,0.13793103448275862,0.1518987341772152,0.75,3.6666666666666665
ETTh1,96,lstm,spike,42,2.8417317867279053,3.609843566337091,35.95055389404297,0.8300115107650464,0.7596899224801209,0.08571428571428572,1.0,0.04477611940298507,0.0625,1.0
ETTh1,96,lstm,spike,2024,2.8417317867279053,3.609843566337091,35.95055389404297,0.8383034421458843,0.7812499999995011,0.13888888888888887,1.0,0.07462686567164178,0.09375,1.0
ETTh1,96,lstm,spike,3407,2.8417317867279053,3.609843566337091,35.95055389404297,0.8907605915710125,0.8053691275162822,0.028985507246376812,1.0,0.014705882352941176,0.030303030303030304,1.0
ETTh1,96,lstm,level_shift,42,2.8417317867279053,3.609843566337091,35.95055389404297,0.9338051103836836,0.8633093525174914,0.14457831325301204,1.0,0.07792207792207792,0.6,5.333333333333333
ETTh1,96,lstm,level_shift,2024,2.8417317867279053,3.609843566337091,35.95055389404297,0.6844173773214028,0.6358381502885426,0.325,1.0,0.19402985074626866,0.25,2.0
ETTh1,96,lstm,level_shift,3407,2.8417317867279053,3.609843566337091,35.95055389404297,0.7115301874425803,0.712328767122791,0.04938271604938272,1.0,0.02531645569620253,0.25,2.0
ETTh1,96,lstm,frozen,42,2.8417317867279053,3.609843566337091,35.95055389404297,0.02801031541652759,0.08316831683142471,0.0,0.0,0.0,0.0,
ETTh1,96,lstm,frozen,2024,2.8417317867279053,3.609843566337091,35.95055389404297,0.03324417967231824,0.0705882352937838,0.0,0.0,0.0,0.0,
ETTh1,96,lstm,frozen,3407,2.8417317867279053,3.609843566337091,35.95055389404297,0.14402539469245906,0.24460431654627193,0.0,0.0,0.0,0.0,
ETTh1,96,transformer,spike,42,2.236910104751587,2.7873467475947273,28.29899787902832,1.0000000000000002,0.9999999999995,0.8833333333333333,1.0,0.7910447761194029,0.875,0.03571428571428571
ETTh1,96,transformer,spike,2024,2.236910104751587,2.7873467475947273,28.29899787902832,0.9997805092186131,0.9925925925920926,0.9365079365079364,1.0,0.8805970149253731,0.9375,0.13333333333333333
ETTh1,96,transformer,spike,3407,2.236910104751587,2.7873467475947273,28.29899787902832,0.9999999999999998,0.9999999999995,0.9291338582677166,1.0,0.8676470588235294,0.9696969696969697,0.03125
ETTh1,96,transformer,level_shift,42,2.236910104751587,2.7873467475947273,28.29899787902832,1.0,0.9999999999995,0.9305555555555556,1.0,0.8701298701298701,1.0,0.0
