dataset,model,horizon,aggregation_method,anomaly_type,magnitude_scale,injection_seed,detector_type,threshold_method,precision,recall,f1,false_positive_rate
ETTh1,nlinear,96,first,spike,1.0,42,residual,percentile,0.4520547945205479,0.9850746268656716,0.6197183098591549,0.02479082739386427
ETTh1,nlinear,96,first,spike,1.0,42,raw_zscore,percentile,0.018789144050104383,0.26865671641791045,0.03512195121951219,0.29129222187790516
ETTh1,nlinear,96,first,spike,1.0,42,diff_score,percentile,0.23076923076923078,0.44776119402985076,0.30456852791878175,0.030988534242330338
ETTh1,nlinear,96,first,spike,1.0,42,rolling_zscore,percentile,0.3111111111111111,0.208955223880597,0.25,0.009606445615122404
ETTh1,nlinear,96,first,spike,1.0,2024,residual,percentile,0.45517241379310347,0.9850746268656716,0.6226415094339622,0.024480942051440968
ETTh1,nlinear,96,first,spike,1.0,2024,raw_zscore,percentile,0.02615062761506276,0.373134328358209,0.04887585532746823,0.2885032537960954
ETTh1,nlinear,96,first,spike,1.0,2024,diff_score,percentile,0.2631578947368421,0.5223880597014925,0.35000000000000003,0.03036876355748373
ETTh1,nlinear,96,first,spike,1.0,2024,rolling_zscore,percentile,0.27906976744186046,0.1791044776119403,0.21818181818181817,0.009606445615122404
ETTh1,nlinear,96,first,spike,1.0,3407,residual,percentile,0.4594594594594595,1.0,0.6296296296296297,0.024798512089274645
ETTh1,nlinear,96,first,spike,1.0,3407,raw_zscore,percentile,0.011530398322851153,0.16176470588235295,0.021526418786692758,0.29231246125232485
ETTh1,nlinear,96,first,spike,1.0,3407,diff_score,percentile,0.25,0.5147058823529411,0.3365384615384615,0.03254804711717297
ETTh1,nlinear,96,first,spike,1.0,3407,rolling_zscore,percentile,0.32558139534883723,0.20588235294117646,0.25225225225225223,0.008989460632362058
ETTh1,nlinear,96,first,spike,2.0,42,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.02479082739386427
ETTh1,nlinear,96,first,spike,2.0,42,raw_zscore,percentile,0.03391572456320658,0.4925373134328358,0.06346153846153847,0.29129222187790516
ETTh1,nlinear,96,first,spike,2.0,42,diff_score,percentile,0.24060150375939848,0.47761194029850745,0.31999999999999995,0.03129841958475364
ETTh1,nlinear,96,first,spike,2.0,42,rolling_zscore,percentile,0.48333333333333334,0.43283582089552236,0.45669291338582674,0.009606445615122404
ETTh1,nlinear,96,first,spike,2.0,2024,residual,percentile,0.45517241379310347,0.9850746268656716,0.6226415094339622,0.024480942051440968
ETTh1,nlinear,96,first,spike,2.0,2024,raw_zscore,percentile,0.04512820512820513,0.6567164179104478,0.08445297504798464,0.2885032537960954
ETTh1,nlinear,96,first,spike,2.0,2024,diff_score,percentile,0.26119402985074625,0.5223880597014925,0.34825870646766166,0.030678648899907034
ETTh1,nlinear,96,first,spike,2.0,2024,rolling_zscore,percentile,0.5,0.417910447761194,0.45528455284552843,0.008676789587852495
ETTh1,nlinear,96,first,spike,2.0,3407,residual,percentile,0.4594594594594595,1.0,0.6296296296296297,0.024798512089274645
ETTh1,nlinear,96,first,spike,2.0,3407,raw_zscore,percentile,0.03578732106339468,0.5147058823529411,0.06692160611854685,0.29231246125232485
ETTh1,nlinear,96,first,spike,2.0,3407,diff_score,percentile,0.25,0.5147058823529411,0.3365384615384615,0.03254804711717297
ETTh1,nlinear,96,first,spike,2.0,3407,rolling_zscore,percentile,0.5166666666666667,0.45588235294117646,0.484375,0.008989460632362058
ETTh1,nlinear,96,first,spike,3.0,42,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.02479082739386427
ETTh1,nlinear,96,first,spike,3.0,42,raw_zscore,percentile,0.048582995951417005,0.7164179104477612,0.0909952606635071,0.29129222187790516
ETTh1,nlinear,96,first,spike,3.0,42,diff_score,percentile,0.24060150375939848,0.47761194029850745,0.31999999999999995,0.03129841958475364
ETTh1,nlinear,96,first,spike,3.0,42,rolling_zscore,percentile,0.5373134328358209,0.5373134328358209,0.5373134328358209,0.009606445615122404
ETTh1,nlinear,96,first,spike,3.0,2024,residual,percentile,0.4589041095890411,1.0,0.6291079812206573,0.024480942051440968
ETTh1,nlinear,96,first,spike,3.0,2024,raw_zscore,percentile,0.05386178861788618,0.7910447761194029,0.10085632730732637,0.2885032537960954
ETTh1,nlinear,96,first,spike,3.0,2024,diff_score,percentile,0.26119402985074625,0.5223880597014925,0.34825870646766166,0.030678648899907034
ETTh1,nlinear,96,first,spike,3.0,2024,rolling_zscore,percentile,0.5625,0.5373134328358209,0.549618320610687,0.008676789587852495
ETTh1,nlinear,96,first,spike,3.0,3407,residual,percentile,0.4594594594594595,1.0,0.6296296296296297,0.024798512089274645
ETTh1,nlinear,96,first,spike,3.0,3407,raw_zscore,percentile,0.05226130653266332,0.7647058823529411,0.09783631232361241,0.29231246125232485
ETTh1,nlinear,96,first,spike,3.0,3407,diff_score,percentile,0.25,0.5147058823529411,0.3365384615384615,0.03254804711717297
ETTh1,nlinear,96,first,spike,3.0,3407,rolling_zscore,percentile,0.5797101449275363,0.5882352941176471,0.583941605839416,0.008989460632362058
ETTh1,nlinear,96,first,spike,5.0,42,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.02479082739386427
ETTh1,nlinear,96,first,spike,5.0,42,raw_zscore,percentile,0.06653426017874876,1.0,0.12476722532588454,0.29129222187790516
ETTh1,nlinear,96,first,spike,5.0,42,diff_score,percentile,0.24060150375939848,0.47761194029850745,0.31999999999999995,0.03129841958475364
ETTh1,nlinear,96,first,spike,5.0,42,rolling_zscore,percentile,0.5694444444444444,0.6119402985074627,0.5899280575539567,0.009606445615122404
ETTh1,nlinear,96,first,spike,5.0,2024,residual,percentile,0.4589041095890411,1.0,0.6291079812206573,0.024480942051440968
ETTh1,nlinear,96,first,spike,5.0,2024,raw_zscore,percentile,0.06713426853707415,1.0,0.12582159624413145,0.2885032537960954
ETTh1,nlinear,96,first,spike,5.0,2024,diff_score,percentile,0.26119402985074625,0.5223880597014925,0.34825870646766166,0.030678648899907034
ETTh1,nlinear,96,first,spike,5.0,2024,rolling_zscore,percentile,0.6056338028169014,0.6417910447761194,0.6231884057971014,0.008676789587852495
ETTh1,nlinear,96,first,spike,5.0,3407,residual,percentile,0.4594594594594595,1.0,0.6296296296296297,0.024798512089274645
ETTh1,nlinear,96,first,spike,5.0,3407,raw_zscore,percentile,0.06726013847675569,1.0,0.12604263206672844,0.29231246125232485
ETTh1,nlinear,96,first,spike,5.0,3407,diff_score,percentile,0.25,0.5147058823529411,0.3365384615384615,0.03254804711717297
ETTh1,nlinear,96,first,spike,5.0,3407,rolling_zscore,percentile,0.6081081081081081,0.6617647058823529,0.6338028169014084,0.008989460632362058
ETTh1,nlinear,96,first,level_shift,1.0,42,residual,percentile,0.4868421052631579,0.961038961038961,0.646288209606987,0.024246192104445136
